trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
97,0,97,0,10,148.5859005000002,148.5859005000002,0.01460437500008993,[-0.24222222222222223],[0.43333333333333335],[1],[0],[0],[1.9158512909998535],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
98,0,98,0,10,150.51977375000024,150.51977375000024,0.015192957999715873,[-0.2788888888888889],[0.18333333333333332],[1],[0],[0],[1.0673527919998378],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
99,0,99,0,10,151.60480749999988,151.60480749999988,0.014760166999622015,[-0.3277777777777778],[0.36333333333333334],[1],[0],[0],[1.3140703750004832],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
100,0,100,0,5,152.92883237499973,152.92883237499973,0.00828799999999319,[0.33555555555555555],[0.25222222222222224],[1],[0],[0],[1.056887708999966],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
101,0,101,0,10,154.00617116600006,154.00617116600006,0.016175458999896364,[0.11666666666666667],[0.14],[1],[0],[0],[0.9293018329999541],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
102,0,102,0,10,154.95387833299992,154.95387833299992,0.015401749999909953,[-0.43222222222222223],[0.42444444444444446],[1],[0],[0],[1.0319038749994434],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
103,0,103,0,5,155.99580691600022,155.99580691600022,0.008574958000281185,[-0.13777777777777778],[0.16555555555555557],[1],[0],[0],[0.8563252090007154],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
104,0,104,0,10,156.87317712499953,156.87317712499953,0.016217499999584106,[0.03],[-0.06444444444444444],[1],[0],[0],[0.9126635410002564],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
105,0,105,0,5,157.79540270800044,157.79540270800044,0.008504917000209389,[-0.21222222222222223],[-0.36444444444444446],[1],[0],[0],[0.9726012080000146],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
106,0,106,0,10,158.78945120800017,158.78945120800017,0.016775291000158177,[-0.3655555555555556],[-0.14333333333333334],[1],[0],[0],[0.8625756250003178],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
107,0,107,0,10,159.66976524999973,159.66976524999973,0.015151708000303188,[0.07666666666666666],[-0.15],[1],[0],[0],[0.9989752090004913],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
